game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,58.76,0.3,58.0,0.256,1876,0.347,1889,0.229,1878
10000,0.24,58.14,0.1,116.3,0.319,1878,0.275,1890,0.236,1880
15000,0.21,58.81,0.2,175.8,0.32,1880,0.252,1891,0.26,1880
20000,0.18,59.51,0.3,235.0,0.351,1881,0.257,1891,0.239,1883
25000,0.15,60.0,0.2,295.5,0.369,1883,0.259,1892,0.217,1887
30000,0.12,59.12,0.2,356.0,0.339,1886,0.19,1893,0.303,1890
35000,0.12,59.92,0.5,417.6,0.358,1888,0.246,1894,0.228,1891
40000,0.12,60.49,0.2,479.6,0.262,1888,0.323,1894,0.248,1892
45000,0.12,60.24,0.2,541.8,0.229,1888,0.326,1894,0.276,1894
50000,0.12,60.34,0.2,603.2,0.269,1894,0.309,1895,0.256,1895
55000,0.12,60.16,0.4,664.2,0.271,1896,0.296,1896,0.271,1895
60000,0.12,59.24,0.2,724.8,0.274,1896,0.274,1896,0.287,1898
