game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,58.72,0.3,30.1,0.262,1896,0.228,1896,0.346,1898
10000,0.24,59.39,0.4,60.5,0.249,1896,0.266,1896,0.318,1899
15000,0.21,59.83,0.2,92.2,0.237,1897,0.316,1896,0.273,1902
20000,0.18,59.79,0.2,124.2,0.31,1897,0.264,1899,0.263,1903
25000,0.15,59.71,0.2,156.1,0.309,1898,0.257,1899,0.274,1903
30000,0.12,60.87,0.2,187.9,0.261,1898,0.244,1901,0.317,1905
35000,0.12,60.23,0.2,219.6,0.228,1899,0.324,1901,0.282,1905
40000,0.12,59.9,0.3,251.7,0.248,1902,0.342,1902,0.232,1906
45000,0.12,60.11,0.2,287.2,0.309,1902,0.25,1906,0.256,1906
50000,0.12,60.75,0.3,323.0,0.249,1904,0.309,1906,0.277,1906
55000,0.12,60.5,0.2,356.4,0.222,1905,0.37,1908,0.247,1906
60000,0.12,60.22,0.4,389.1,0.198,1907,0.321,1908,0.314,1906
