game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,57.64,0.2,28.1,0.283,1824,0.283,1832,0.278,1821
10000,0.24,57.43,0.2,56.5,0.283,1828,0.227,1845,0.332,1831
15000,0.21,58.34,0.1,85.2,0.25,1840,0.272,1852,0.321,1834
20000,0.18,59.62,0.2,114.9,0.266,1845,0.281,1853,0.296,1845
25000,0.15,59.8,0.2,144.9,0.276,1845,0.272,1859,0.297,1856
30000,0.12,58.93,0.2,174.9,0.335,1851,0.224,1863,0.283,1860
35000,0.12,60.81,0.2,205.9,0.34,1852,0.178,1866,0.325,1861
40000,0.12,59.47,0.3,236.1,0.228,1855,0.332,1872,0.276,1865
45000,0.12,60.49,0.2,266.8,0.238,1860,0.338,1879,0.252,1866
50000,0.12,60.49,0.1,297.6,0.223,1866,0.356,1881,0.262,1873
55000,0.12,60.25,0.3,327.8,0.196,1868,0.367,1882,0.29,1876
60000,0.12,61.85,0.4,359.1,0.241,1874,0.358,1888,0.243,1877
