game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,59.04,0.1,56.8,0.255,1908,0.237,1908,0.335,1906
10000,0.24,58.94,0.2,114.0,0.298,1908,0.264,1908,0.28,1907
15000,0.21,59.15,0.3,171.8,0.278,1909,0.267,1908,0.277,1907
20000,0.18,60.78,0.2,231.1,0.258,1910,0.286,1910,0.292,1908
25000,0.15,60.65,0.1,291.3,0.259,1910,0.263,1910,0.306,1909
30000,0.12,60.08,0.3,350.8,0.282,1918,0.316,1912,0.234,1909
35000,0.12,60.48,0.2,411.0,0.245,1919,0.35,1912,0.239,1909
40000,0.12,60.08,0.4,471.3,0.303,1921,0.311,1912,0.214,1910
45000,0.12,60.34,0.2,531.5,0.278,1921,0.259,1912,0.291,1911
50000,0.12,61.36,0.4,591.7,0.241,1923,0.286,1912,0.312,1911
55000,0.12,59.35,0.3,650.9,0.345,1923,0.24,1912,0.245,1911
60000,0.12,58.39,0.3,709.3,0.301,1923,0.203,1915,0.331,1913
